,Node Label,PN incoming Connections,FSI incoming Connections,LTS incoming Connections
984,PN,27,28,17
985,PN,0,1,0
986,PN,18,21,10
987,PN,25,26,16
988,PN,1,1,0
989,PN,13,13,7
990,PN,0,2,0
991,PN,18,25,7
992,PN,9,2,5
993,PN,0,2,1
994,PN,45,38,22
995,PN,0,0,0
996,PN,19,12,14
997,PN,23,19,13
998,PN,6,16,8
999,PN,15,16,10
1000,PN,10,9,4
1001,PN,3,10,11
1002,PN,18,8,14
1003,PN,13,6,8
1004,PN,2,1,3
1005,PN,25,23,18
1006,PN,26,18,10
1007,PN,21,24,13
1008,PN,20,25,15
1009,PN,14,16,12
1010,PN,7,4,1
1011,PN,10,9,1
1012,PN,4,3,1
1013,PN,28,19,9
1014,PN,22,17,12
1015,PN,24,22,22
1016,PN,1,4,0
1017,PN,0,0,0
1018,PN,0,2,3
1019,PN,3,4,3
1020,PN,26,33,19
1021,PN,30,26,17
1022,PN,0,4,1
1023,PN,14,14,19
1024,PN,29,28,14
1025,PN,15,11,10
1026,PN,17,12,6
1027,PN,0,1,0
1028,PN,5,3,6
1029,PN,5,6,3
1030,PN,0,1,0
1031,PN,0,1,0
1032,PN,0,2,0
1033,PN,1,2,2
1034,PN,0,5,3
1035,PN,1,4,3
1036,PN,0,2,1
1037,PN,1,1,0
1038,PN,0,0,1
1039,PN,30,28,15
1040,PN,0,0,0
1041,PN,34,33,12
1042,PN,0,0,0
1043,PN,26,20,17
1044,PN,1,3,2
1045,PN,36,32,23
1046,PN,25,30,10
1047,PN,19,9,6
1048,PN,2,0,1
1049,PN,27,26,28
1050,PN,44,28,15
1051,PN,2,2,1
1052,PN,29,38,12
1053,PN,0,2,1
1054,PN,15,16,7
1055,PN,5,5,9
1056,PN,10,11,11
1057,PN,18,13,7
1058,PN,2,3,6
1059,PN,23,24,12
1060,PN,1,2,3
1061,PN,0,0,0
1062,PN,27,24,14
1063,PN,30,34,22
1064,PN,2,3,2
1065,PN,25,21,9
1066,PN,15,15,12
1067,PN,0,0,0
1068,PN,8,5,2
1069,PN,41,30,21
1070,PN,48,29,21
1071,PN,2,2,1
1072,PN,7,5,3
1073,PN,3,8,3
1074,PN,30,17,15
1075,PN,16,22,19
1076,PN,2,5,4
1077,PN,40,30,29
1078,PN,6,4,5
1079,PN,5,6,8
1080,PN,12,12,5
1081,PN,8,6,7
1082,PN,31,30,15
1083,PN,0,1,0
1084,PN,8,11,4
1085,PN,0,1,3
1086,PN,15,15,11
1087,PN,5,10,7
1088,PN,25,36,18
1089,PN,0,1,0
1090,PN,4,10,6
1091,PN,19,12,9
1092,PN,1,2,1
1093,PN,4,6,4
1094,PN,7,18,8
1095,PN,0,1,0
1096,PN,38,45,26
1097,PN,26,19,14
1098,PN,16,20,7
1099,PN,1,3,1
1100,PN,9,4,2
1101,PN,24,16,17
1102,PN,2,1,2
1103,PN,31,30,12
1104,PN,0,0,0
1105,PN,22,29,18
1106,PN,0,0,0
1107,PN,20,24,14
1108,PN,1,0,0
1109,PN,6,9,8
1110,PN,8,10,2
1111,PN,29,28,17
1112,PN,1,1,3
1113,PN,6,7,6
1114,PN,36,35,22
1115,PN,24,28,18
1116,PN,0,3,2
1117,PN,30,28,15
1118,PN,0,3,1
1119,PN,11,9,2
1120,PN,2,0,3
1121,PN,34,25,18
1122,PN,11,11,10
1123,PN,11,13,8
1124,PN,8,8,4
1125,PN,16,22,11
1126,PN,30,28,18
1127,PN,0,1,1
1128,PN,39,35,16
1129,PN,4,5,6
1130,PN,27,23,19
1131,PN,3,8,9
1132,PN,8,6,7
1133,PN,4,7,5
1134,PN,39,33,14
1135,PN,26,23,19
1136,PN,4,2,2
1137,PN,7,15,13
1138,PN,32,26,18
1139,PN,12,15,7
1140,PN,9,7,8
1141,PN,14,23,11
1142,PN,3,2,0
1143,PN,1,8,2
1144,PN,1,2,2
1145,PN,5,6,1
1146,PN,0,0,0
1147,PN,10,12,7
1148,PN,1,1,0
1149,PN,0,0,0
1150,PN,8,10,4
1151,PN,0,0,0
1152,PN,0,0,0
1153,PN,0,0,0
1154,PN,1,3,1
1155,PN,0,0,0
1156,PN,20,29,14
1157,PN,10,16,3
1158,PN,21,22,15
1159,PN,5,12,6
1160,PN,35,31,15
1161,PN,0,5,4
1162,PN,2,9,2
1163,PN,31,19,17
1164,PN,1,2,2
1165,PN,7,8,6
1166,PN,5,7,4
1167,PN,36,35,10
1168,PN,7,11,8
1169,PN,31,24,17
1170,PN,6,12,3
1171,PN,0,0,1
1172,PN,26,33,19
1173,PN,1,1,2
1174,PN,2,3,3
1175,PN,4,10,0
1176,PN,4,6,3
1177,PN,4,1,3
1178,PN,12,14,11
